,airline,flight,source_city,departure_time,Time,stops,arrival_time,Time,destination_city,class,duration,days_left,price
1480,Air_India,AI-665,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,10,5955
1645,SpiceJet,SG-1089,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,11,5953
1646,SpiceJet,SG-8803,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,11,5953
1647,SpiceJet,SG-1061,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,11,5953
1648,SpiceJet,SG-8157,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,11,5953
1658,Vistara,UK-943,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,11,5955
1668,GO_FIRST,G8-530,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,11,5954
1669,GO_FIRST,G8-334,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,11,5954
1679,Indigo,6E-2054,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,11,5955
1687,Air_India,AI-887,Delhi,Early_Morning,4,zero,Morning,6.08,Mumbai,Economy,2.08,11,5955
1688,Air_India,AI-665,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,11,5955
1724,Indigo,6E-5001,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,11,6165
1860,SpiceJet,SG-1089,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,12,5955
1861,SpiceJet,SG-8803,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,12,5955
1862,SpiceJet,SG-1061,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,12,5955
1863,SpiceJet,SG-8157,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,12,5955
1875,Vistara,UK-943,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,12,5955
1885,GO_FIRST,G8-530,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,12,5954
1886,GO_FIRST,G8-334,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,12,5954
1896,Indigo,6E-2054,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,12,5955
1897,Indigo,6E-5001,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,12,5955
1906,Air_India,AI-887,Delhi,Early_Morning,4,zero,Morning,6.08,Mumbai,Economy,2.08,12,5955
1907,Air_India,AI-665,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,12,5955
2078,SpiceJet,SG-1089,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,13,5953
2079,SpiceJet,SG-1061,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,13,5953
2080,SpiceJet,SG-8157,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,13,5953
2091,Vistara,UK-943,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,13,5955
2102,GO_FIRST,G8-530,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,13,5954
2103,GO_FIRST,G8-334,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,13,5954
2112,Indigo,6E-2054,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,13,5955
2113,Indigo,6E-5001,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,13,5955
2115,SpiceJet,SG-8803,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,13,5955
2122,Air_India,AI-887,Delhi,Early_Morning,4,zero,Morning,6.08,Mumbai,Economy,2.08,13,5955
2123,Air_India,AI-665,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,13,5955
2299,SpiceJet,SG-1089,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,14,5955
2300,SpiceJet,SG-8803,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,14,5955
2301,SpiceJet,SG-1061,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,14,5955
2302,SpiceJet,SG-8157,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,14,5955
2315,Vistara,UK-943,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,14,5955
2325,GO_FIRST,G8-530,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,14,5954
2326,GO_FIRST,G8-334,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,14,5954
2335,Indigo,6E-2054,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,14,5955
2336,Indigo,6E-5001,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,14,5955
2344,Air_India,AI-887,Delhi,Early_Morning,4,zero,Morning,6.08,Mumbai,Economy,2.08,14,5955
2345,Air_India,AI-665,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,14,5955
2517,Indigo,6E-2054,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,15,2410
2518,GO_FIRST,G8-530,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,15,2410
2519,Indigo,6E-5001,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,15,2410
2520,GO_FIRST,G8-334,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,15,2410
2541,Air_India,AI-887,Delhi,Early_Morning,4,zero,Morning,6.08,Mumbai,Economy,2.08,15,2476
2542,Air_India,AI-665,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,15,2476
2549,SpiceJet,SG-1089,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,15,2621
2550,SpiceJet,SG-8803,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,15,2621
2551,SpiceJet,SG-1061,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,15,2621
2552,SpiceJet,SG-8157,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,15,2621
2557,Vistara,UK-943,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,15,3100
2732,Indigo,6E-2054,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,16,2410
2733,GO_FIRST,G8-530,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,16,2410
2734,Indigo,6E-5001,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,16,2410
2735,GO_FIRST,G8-334,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,16,2410
2753,Air_India,AI-887,Delhi,Early_Morning,4,zero,Morning,6.08,Mumbai,Economy,2.08,16,2476
2754,Air_India,AI-665,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,16,2476
2759,SpiceJet,SG-1089,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,16,2621
2760,SpiceJet,SG-8803,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,16,2621
2761,SpiceJet,SG-1061,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,16,2621
2762,SpiceJet,SG-8157,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,16,2621
2766,Vistara,UK-943,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,16,3100
2937,Indigo,6E-2054,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,17,2410
2938,GO_FIRST,G8-530,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,17,2410
2939,Indigo,6E-5001,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,17,2410
2940,GO_FIRST,G8-334,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,17,2410
2956,Air_India,AI-887,Delhi,Early_Morning,4,zero,Morning,6.08,Mumbai,Economy,2.08,17,2476
2957,Air_India,AI-665,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,17,2476
2962,SpiceJet,SG-1089,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,17,2621
2963,SpiceJet,SG-8803,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,17,2621
2964,SpiceJet,SG-1061,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,17,2621
2965,SpiceJet,SG-8157,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,17,2621
2971,Vistara,UK-943,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,17,3100
3153,Indigo,6E-2054,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,18,2410
3154,GO_FIRST,G8-530,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,18,2410
3155,Indigo,6E-5001,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,18,2410
3156,GO_FIRST,G8-334,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,18,2410
3181,Air_India,AI-887,Delhi,Early_Morning,4,zero,Morning,6.08,Mumbai,Economy,2.08,18,2476
3182,Air_India,AI-665,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,18,2476
3189,SpiceJet,SG-1089,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,18,2621
3190,SpiceJet,SG-8803,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,18,2621
3191,SpiceJet,SG-1061,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,18,2621
3192,SpiceJet,SG-8157,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,18,2621
3197,Vistara,UK-943,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,18,3100
3373,Indigo,6E-2054,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,19,2410
3374,GO_FIRST,G8-530,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,19,2410
3375,Indigo,6E-5001,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,19,2410
3376,GO_FIRST,G8-334,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,19,2410
3402,Air_India,AI-887,Delhi,Early_Morning,4,zero,Morning,6.08,Mumbai,Economy,2.08,19,2476
3403,Air_India,AI-665,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,19,2476
3410,SpiceJet,SG-8803,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,19,2621
3411,SpiceJet,SG-8157,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,19,2621
3416,Vistara,UK-943,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,19,3100
3589,Indigo,6E-2054,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,20,2410
3590,GO_FIRST,G8-530,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,20,2410
3591,Indigo,6E-5001,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,20,2410
3592,GO_FIRST,G8-334,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,20,2410
3618,Air_India,AI-887,Delhi,Early_Morning,4,zero,Morning,6.08,Mumbai,Economy,2.08,20,2476
3619,Air_India,AI-665,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,20,2476
3626,SpiceJet,SG-8803,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,20,2621
3627,SpiceJet,SG-8157,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,20,2621
3633,Vistara,UK-943,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,20,3100
3805,Indigo,6E-2054,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,21,2410
3806,GO_FIRST,G8-530,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,21,2410
3807,Indigo,6E-5001,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,21,2410
3808,GO_FIRST,G8-334,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,21,2410
3837,Air_India,AI-887,Delhi,Early_Morning,4,zero,Morning,6.08,Mumbai,Economy,2.08,21,2476
3838,Air_India,AI-665,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,21,2476
3847,SpiceJet,SG-8803,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,21,2621
3848,SpiceJet,SG-8157,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,21,2621
3852,Vistara,UK-943,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,21,3100
4019,Indigo,6E-2054,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,22,2410
4020,GO_FIRST,G8-530,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,22,2410
4021,Indigo,6E-5001,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,22,2410
4022,GO_FIRST,G8-334,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,22,2410
4048,Air_India,AI-887,Delhi,Early_Morning,4,zero,Morning,6.08,Mumbai,Economy,2.08,22,2476
4049,Air_India,AI-665,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,22,2476
4057,SpiceJet,SG-8803,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,22,2621
4058,SpiceJet,SG-8157,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,22,2621
4062,Vistara,UK-943,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,22,3100
4236,Indigo,6E-2054,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,23,2410
4237,GO_FIRST,G8-530,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,23,2410
4238,Indigo,6E-5001,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,23,2410
4239,GO_FIRST,G8-334,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,23,2410
4264,Air_India,AI-887,Delhi,Early_Morning,4,zero,Morning,6.08,Mumbai,Economy,2.08,23,2476
4265,Air_India,AI-665,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,23,2476
4273,SpiceJet,SG-8803,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,23,2621
4274,SpiceJet,SG-8157,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,23,2621
4278,Vistara,UK-943,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,23,3100
4450,Indigo,6E-2054,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,24,2410
4451,GO_FIRST,G8-530,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,24,2410
4452,Indigo,6E-5001,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,24,2410
4453,GO_FIRST,G8-334,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,24,2410
4481,Air_India,AI-887,Delhi,Early_Morning,4,zero,Morning,6.08,Mumbai,Economy,2.08,24,2476
4482,Air_India,AI-665,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,24,2476
4490,SpiceJet,SG-8803,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,24,2621
4491,SpiceJet,SG-8157,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,24,2621
4496,Vistara,UK-943,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,24,3100
4675,Indigo,6E-2054,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,25,2410
4676,GO_FIRST,G8-530,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,25,2410
4677,Indigo,6E-5001,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,25,2410
4678,GO_FIRST,G8-334,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,25,2410
4709,Air_India,AI-887,Delhi,Early_Morning,4,zero,Morning,6.08,Mumbai,Economy,2.08,25,2476
4710,Air_India,AI-665,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,25,2476
4718,SpiceJet,SG-8803,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,25,2621
4719,SpiceJet,SG-8157,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,25,2621
4728,Vistara,UK-943,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,25,3310
